JobRefNo,DigerPozisyon,Qualifications,sub-classification
3427871,Tamir Ustası,"<p><em><br></em></p><p><strong>Pumalas Dış Tic. Otomotiv Lastik San. Paz. Ltd. Şti.;&nbsp;Lastik & Oto Servis Ekipmanları ve Malzemeleri sektöründe en geniş müşteri portföyüne ve satış pazarlama ağına sahip lider firmadır.</strong></p><ul type=""disc""><li class=""x_x_x_MsoNormal"">En az lise&nbsp;mezunu, tercihen ilgili bölüm mezunu. </li><li class=""x_x_x_MsoNormal"">Mekanik ve makine konusunda tecrübe sahibi, </li><li class=""x_x_x_MsoNormal"">Lastik servis ekipmanlarının (lastik sökme-takma, balans, ön düzen makinaları) çalışma prensibine hakim,</li><li class=""x_x_x_MsoNormal"">İletişimde yetkin, sorumluluk bilinci yüksek, </li><li class=""x_x_x_MsoNormal"">İkna ve temsil yeteneği gelişmiş, </li><li class=""x_x_x_MsoNormal"">Askerlik görevini tamamlamış, </li><li class=""x_x_x_MsoNormal"">30 Yaşını aşmamış, </li><li class=""x_x_x_MsoNormal"">Esnek çalışma saatlerine uyum sağlayabilecek, </li><li class=""x_x_x_MsoNormal"">B-Sınıfı ehliyet sahibi, </li><li class=""x_x_x_MsoNormal"">Seyahat engeli bulunmayan, </li><li class=""x_x_x_MsoNormal"">Dinamik, yenilikçi düşünen,</li></ul><p class=""x_x_x_MsoNormal""></p><p><strong><em>İŞ TANIMI</em></strong></p><ul type=""disc""><li class=""x_x_x_MsoNormal""><strong>Satış sonrası lastik servis ekipmanlarının tamirlerinde görev alacak,</strong></li><li class=""x_x_x_MsoNormal""><strong>Satış sonrası makinelerin kullanımı hakkında bilgi verebilecek</strong></li><li class=""x_x_x_MsoNormal""><strong>Şehirlerarası seyahat edebilecek, takım arkadaşları arıyoruz.</strong></li></ul>",Bakım / Onarım
3427836,Çay Servis ve Temizlik Elemanı,"<p>Beton üretimi yapan tesisimizin ofis binasında, çay servisi ve ofis temizliği yapacak, gelen misafirleri karşılayacak, çalışkan ve güleryüzlü personel arıyoruz.</p>",Yiyecek / İçecek Servisi
3427796,Temizlik Görevlisi,"<span><span>Maçka Residences İstanbul kadrosunda çalışacak Temizlik Görevlisi arıyoruz.<br><br><span><span>* Benzer görevde en az 3 yıl tecrübeli,<br></span></span><span><span>* En az ilköğretim mezunu,</span></span><br><span><span>* Temizlik alet, makina ve kimyasallarını doğru şekilde kullanabilen,</span></span><br><span><span>*Değişime açık ve öğrenme isteği olan,</span></span><br><span><span>* Güleryüzlü, </span></span><br><span><span>* Sorumluluk alabilen</span></span><br><span><span>* Hızlı ve yüksek standartlarda çalışabilen</span></span><br><span><span>* Erkek adaylar için askerliğini tamamlamış.</span></span><br>&nbsp;</span></span><br><strong><br></strong><h3><strong>İŞ TANIMI</strong></h3><span><span>Görev yaptığı rezidans bünyesinde kendisine bildirilen alanlarını hijyen kuralları dahilinde temizlemek, düzenlemek, malzeme ofisinin, araç ve gereçlerinin temiz, düzenli olmasını sağlamaktan sorumludur.</span></span>",Temizlik Hizmetleri
3427756,Garson,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"" align=""center"">Antalya/ Manavgat Sorgun'da&nbsp;bulunan&nbsp; Ali Bey Hotels & Resorts markası olan ALİ BEY RESORT SORGUN&nbsp;tesisimizin&nbsp;F&B&nbsp;bölümünde&nbsp; Garson&nbsp;olarak görev almak üzere çalışma arkadaşları arıyoruz.<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"" align=""center""><br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">Mesleki ve kişisel gelişime açık, kariyer yapma isteğinde olan, Mesleki Yeterlilik Belgesi sahibi olan veya bu belgeyi ilk kez alarak tesisimizde uzun süreli çalışma arzusunda olan çalışan adaylarına gereken eğitim ve kariyer destekleri işletmemizce sağlanmaktadır.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing""><br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;En az lise ve tercihen Turizm Otelcilik Meslek Lisesi veya Yüksekokulu mezunları,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Beş yıldızlı otel veya tatil köylerinde, Restoran operasyonlarında en az 3 sezon görev almış,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">·&nbsp;&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; Mesleki düzeyde yabancı dil bilen,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Misafir memnuniyeti odaklı,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dış görünümüne özen gösteren, genç dinamik ve proaktif,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İletişim becerisi ve insan ilişkileri güçlü,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><u>Sosyal İmkânlar / Yan Haklar:</u><u></u></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Servis</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lojman</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yemek</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yabancı Dil Tazminatı&nbsp; &nbsp;&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">CEF ( CommonEuropean Framework) Dil Düzeyi Göstergeleri skalasında&nbsp;<u>B1 ve üzeri seviyede</u>&nbsp;veya bu seviyenin karşılığı olarak yabancı dil bilgisini belgeleyen çalışanlara her bir yabancı dil için ücrete ilave olarak çalıştığı sürece tesisimizin belirleyeceği miktarlarda&nbsp;<u>Yabancı Dil Tazminatı</u>&nbsp;ödenir.&nbsp;&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">&nbsp;Sezon Primi&nbsp;( Başarılı bir şekilde sezonu tamamlayan personelin toplam çalışma günü hesabıyla yapılan bir aylık ücretine kadar çıkabilen tutarda sezon primi ödenir. )</p>",Restoran Hizmetleri
3427741,Barmen / Barmaid,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"" align=""center"">Antalya/ Manavgat Sorgun mevkisinde bulunan&nbsp; Ali Bey Hotels & Resorts markası olan Ali Bey Resort Sorgun tesisinde Barmen-Barmaid olarak görev almak üzere çalışma arkadaşları arıyoruz.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">Mesleki ve kişisel gelişime açık, kariyer yapma isteğinde olan, Mesleki Yeterlilik Belgesi sahibi olan veya bu belgeyi ilk kez alarak tesisimizde uzun süreli çalışma arzusunda olan çalışan adaylarına gereken eğitim ve kariyer destekleri işletmemizce sağlanmaktadır.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;En az lise ve tercihen Turizm Otelcilik Meslek Lisesi veya Yüksekokulu mezunları,<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Beş yıldızlı otel veya tatil köylerinde, Bar operasyonlarında en az 3 sezon görev almış,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">·&nbsp;&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;Mesleki düzeyde yabancı dil bilen,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Misafir memnuniyeti odaklı,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dış görünümüne özen gösteren, genç dinamik ve proaktif,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;İletişim becerisi ve insan ilişkileri güçlü,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">·&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Takım çalışmasına yatkın<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNoSpacing"">&nbsp;<u>Sosyal İmkânlar / Yan Haklar:</u></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpFirst"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Servis</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lojman</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yemek</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Yabancı Dil Tazminatı</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">Sezon Primi&nbsp;( Başarılı bir şekilde sezonu tamamlayan personelin toplam çalışma günü hesabıyla yapılan bir aylık ücretine kadar çıkabilen tutarda sezon primi ödenir. )</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">CEF ( Common European Framework) Dil Düzeyi Göstergeleri skalasında&nbsp;<u>B1 ve üzeri seviyede</u>&nbsp;yabancı dil bilgisini belgeleyen çalışanlara her bir yabancı dil için çalıştığı sürece tesisimizin belirleyeceği miktarlarda&nbsp;<u>Yabancı Dil Tazminatı</u>&nbsp;ödenir.</p><p><br></p>",Restoran Hizmetleri
3427719,Alakart Garson,"<p>İstanbulun Kalbi Olan Sultanahmet bölgemizde&nbsp; Arasta Pazar karşısındaki Blue House Hotel'in bünyesindeki Blue House Lounge and Cafe Restaurantımıza Dünya mutfağından anlayan, Tecrübeli, Gelen Misafirlere saygılı, hoşgörülü, İngilizce lisanını iyi derecede bilen,&nbsp; Pazarlama Satış yeteneği gelişmiş, Ailemize huzur katan, 12.00-22.00 Saatleri arasında çalışacak Tecrübeli Garson aranıyor. Unutmayın ki maaşlarınızı karakteriniz ve çalışmanız belirler.&nbsp;</p>",Restoran Hizmetleri
3427688,Komi,"<p class=""x_x_x_x_x_x_x_x_xmsonormal"" color="""" color="""">NG Afyon otelimizde görevlendirilmek üzere ;</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; En az Turizm Otelcilik alanında eğitim veren Lise veya Meslek&nbsp;Yüksek okulu&nbsp;mezunu,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 5 yıldızlı otellerde&nbsp; yiyecek-içecek bölümünde&nbsp; komi&nbsp; olarak çalışmış,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tercihen Mesleki İngilizce bilen,&nbsp;</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dış görünümü ve kişisel bakımına özen gösteren,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Güler yüzlü ve iletişim becerilerini etkin kullanan,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Takım çalışmasına uyumlu,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Organizasyon ve takip yeteneği güçlü,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vardiyalı sistemde, esnek çalışma saatlerine uyum sağlayabilecek,</p><p class=""x_x_x_x_x_x_x_x_MsoNormal"" color="""" color="""">·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Erkek adaylar için askerlik görevini tamamlamış.</p>",Mutfak Hizmetleri
3427675,Garson,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">NG Afyon otelimizde&nbsp; ""Garson""&nbsp;olarak görevlendirilmek üzere&nbsp;aşağıda belirtilen niteliklere sahip;</p><ul color="""" color=""""><li>&nbsp; En az Turizm Otelcilik alanında eğitim veren Lise veya Meslek&nbsp;Yüksek okulu&nbsp;mezunu,</li></ul><ul color="""" color=""""><li>&nbsp; 5 yıldızlı otellerde en az 3 yıl yiyecek-içecek bölümünde garson olarak çalışmış,</li></ul><ul color="""" color=""""><li>&nbsp; Mesleki İngilizce ve Micros bilgisine sahip,&nbsp;</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Dış görünümü ve kişisel bakımına özen gösteren,</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Güler yüzlü ve iletişim becerilerini etkin kullanan,</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Takım çalışmasına uyumlu,</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Organizasyon ve takip yeteneği güçlü,</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Vardiyalı sistemde, esnek çalışma saatlerine uyum sağlayabilecek,</li></ul><ul color="""" color=""""><li>&nbsp;&nbsp;Erkek adaylar için askerlik görevini tamamlamış,</li></ul>",Restoran Hizmetleri
3427653,Güzellik Uzmanı ,"<p>GENEL NİTELİKLER VE İŞ TANIMI <br></p><p>Tecrübeli ya da gelişime açık yeni mezun adaylar için<br></p><ul><li>Uzman estetisyen veya estetisyenlik belgesi sahibi,</li><li>Branşı ile ilgili özel eğitimler ve güncel uygulamalar ile kendisini sürekli geliştiren ve yenilikleri takip eden,</li><li>Gelişime açık yeni mezun olmuş ya da Alanında deneyim sahibi,</li><li>İletişim yeteneği güçlü, diksiyonu düzgün,</li><li>Gelişime açık ve sorumluluk sahibi,</li><li>Dış görünümüne özen gösteren,</li><li>Hasta memnuniyetine önem veren,</li><li>Cilt Bakımı, Lazer ve bölgesel zayıflama deneyimi bulunan veya bu işlemlere yönelik gelişime açık</li><li><strong>Güzellik uzmanı alınacaktır.</strong></li></ul><p><br></p>",Cilt Bakımı ve Güzellik
3427596,Tercüman (Arapça - İngilizce),"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>Acıbadem Sağlık Grubu</strong> olarak&nbsp;Uluslararası Hasta Hizmetleri&nbsp;bünyesine bağlı görevlendirilmek üzere&nbsp;<strong>Acıbadem Altunizade Hastanesi</strong>'nde çalışacak<strong>Arapça</strong><strong>&nbsp;ve İngilizce&nbsp;</strong>bilen<strong> ""Tercüman"" </strong>aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER</strong></p><ul><li><strong>Çok iyi derecede yazılı ve sözlü olarak Arapça ve İngilizce dil bilgisi olup aktif olarak kullanabilen</strong><span>,</span></li><li><strong>Hasta ihtiyaçları doğrultusunda oluşabilecek esnek çalışma saatlerine uyum gösterebilecek</strong><span>,</span></li><li><span>Hasta gizliliği ve kişisel veri korunması konusunda yüksek hassasiyete sahip,</span></li><li><span>Değişim ve gelişime açık, motivasyonu yüksek,</span></li><li><span>İletişimi kuvvetli, hizmet odaklı çalışabilecek,</span></li><li><span>Tercihen sağlık sektörü deneyimli,</span></li><li><span>Tam zamanlı çalışabilecek.</span></li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI</strong></p><ul><li><span>Yurtdışından gelen yabancı hastaları karşılayıp tedavi süreçlerinden sorumlu olarak hastane içi koordinasyonu sağlamak,</span></li><li><span>Hastanın işlemleri ile ilgili süreç takibini yaparak tıbbi işlemlerle ilgili hasta ve yakınlarına bilgi vermek,</span></li><li><span>Etik değerlere bağlı kalarak hasta gizliliğini, güvenliğini ve memnuniyetini sürdürmek,</span></li><li><span>Hasta ve doktor arasında iletişimi kurarak dil desteği sağlamak,</span></li><li><span>Hastaların tüm süreçlerini günlük ve eksiksiz olarak raporlamak.</span></li></ul>",Tercüme Hizmetleri
3427582,Tercüman (Rusça - İngilizce),"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>Acıbadem Sağlık Grubu</strong> olarak&nbsp;Uluslararası Hasta Hizmetleri&nbsp;bünyesine bağlı görevlendirilmek üzere&nbsp;<strong>Acıbadem Altunizade Hastanesi</strong>'nde çalışacak&nbsp;<strong>Rusça ve İngilizce</strong>bilen<strong> ""Tercüman"" </strong>aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER</strong></p><ul><li><strong>Çok iyi derecede yazılı ve sözlü olarak Rusça ve İngilizce dil bilgisi olup aktif olarak kullanabilen</strong><span>,</span></li><li><strong>Hasta ihtiyaçları doğrultusunda oluşabilecek esnek çalışma saatlerine uyum gösterebilecek</strong><span>,</span></li><li><span>Hasta gizliliği ve kişisel veri korunması konusunda yüksek hassasiyete sahip,</span></li><li><span>Değişim ve gelişime açık, motivasyonu yüksek,</span></li><li><span>İletişimi kuvvetli, hizmet odaklı çalışabilecek,</span></li><li><span>Tercihen sağlık sektörü deneyimli,</span></li><li><span>Tam zamanlı çalışabilecek.</span></li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI</strong></p><ul><li><span>Yurtdışından gelen yabancı hastaları karşılayıp tedavi süreçlerinden sorumlu olarak hastane içi koordinasyonu sağlamak,</span></li><li><span>Hastanın işlemleri ile ilgili süreç takibini yaparak tıbbi işlemlerle ilgili hasta ve yakınlarına bilgi vermek,</span></li><li><span>Etik değerlere bağlı kalarak hasta gizliliğini, güvenliğini ve memnuniyetini sürdürmek,</span></li><li><span>Hasta ve doktor arasında iletişimi kurarak dil desteği sağlamak,</span></li><li><span>Hastaların tüm süreçlerini günlük ve eksiksiz olarak raporlamak.</span></li></ul>",Tercüme Hizmetleri
3427567,Tercüman (Arapça-Fransızca),"<p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><strong>Acıbadem Sağlık Grubu</strong> olarak&nbsp;<strong>Acıbadem&nbsp;</strong><strong>Dr. Şinasi Can&nbsp; Kadıköy Hastanesi'nde</strong> Uluslararası Hasta Hizmetleri&nbsp;bünyesinde görevlendirilmek üzere<strong>Fransızca </strong>-&nbsp;<strong>Arapça</strong> bilen<strong> ""Tercüman""</strong> aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER</strong></p><ul><li><strong>Çok iyi derecede yazılı ve sözlü Fransızca, Arapça ve İngilizce dil bilgisi olup aktif olarak kullanabilen</strong>,</li><li><strong>Hasta ihtiyaçları doğrultusunda oluşabilecek esnek çalışma saatlerine uyum gösterebilecek</strong>,</li><li>Hasta gizliliği ve kişisel veri korunması konusunda yüksek hassasiyete sahip,</li><li>Değişim ve gelişime açık, motivasyonu yüksek,</li><li>İletişimi kuvvetli, hizmet odaklı çalışabilecek,</li><li>Tercihen sağlık sektörü deneyimli,</li><li>Tam zamanlı çalışabilecek.</li></ul><p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p class=""x_x_x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI</strong></p><ul><li>Yurtdışından gelen yabancı hastaları karşılayıp tedavi süreçlerinden sorumlu olarak hastane içi koordinasyonu sağlamak,</li><li>Hastanın işlemleri ile ilgili süreç takibini yaparak tıbbi işlemlerle ilgili hasta ve yakınlarına bilgi vermek,</li><li>Etik değerlere bağlı kalarak hasta gizliliğini, güvenliğini ve memnuniyetini sürdürmek,</li><li>Hasta ve doktor arasında iletişimi kurarak dil desteği sağlamak,</li><li>Hastaların tüm süreçlerini günlük ve eksiksiz olarak raporlamak.</li></ul>",Tercüme Hizmetleri
3427535,Tercüman (Fransızca-Arapça),"<p class=""x_x_x_x_x_x_x_MsoNormal""><strong>Acıbadem Sağlık Grubu</strong> olarak <strong>Acıbadem Mehmet Ali Aydınlar Üniversitesi Atakent Hastanesi'nde</strong> Uluslararası Hasta Hizmetleri&nbsp;bünyesinde görevlendirilmek üzere<strong>Fransızca ve Arapça</strong> bilen<strong> ""Tercüman""</strong> aramaktayız.</p><p class=""x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER</strong></p><ul><li><strong>Çok iyi derecede yazılı ve sözlü Fransızca, Arapça ve İngilizce dil bilgisi olup aktif olarak kullanabilen</strong><span>,</span></li><li><strong>Hasta ihtiyaçları doğrultusunda oluşabilecek esnek çalışma saatlerine uyum gösterebilecek</strong><span>,</span></li><li><span>Hasta gizliliği ve kişisel veri korunması konusunda yüksek hassasiyete sahip,</span></li><li><span>Değişim ve gelişime açık, motivasyonu yüksek,</span></li><li><span>İletişimi kuvvetli, hizmet odaklı çalışabilecek,</span></li><li><span>Tercihen sağlık sektörü deneyimli,</span></li><li><span>Tam zamanlı çalışabilecek.</span></li></ul><p class=""x_x_x_x_x_x_x_MsoNormal""><span><br></span></p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>İŞ TANIMI</strong></p><ul><li><span>Yurtdışından gelen yabancı hastaları karşılayıp tedavi süreçlerinden sorumlu olarak hastane içi koordinasyonu sağlamak,</span></li><li><span>Hastanın işlemleri ile ilgili süreç takibini yaparak tıbbi işlemlerle ilgili hasta ve yakınlarına bilgi vermek,</span></li><li><span>Etik değerlere bağlı kalarak hasta gizliliğini, güvenliğini ve memnuniyetini sürdürmek,</span></li><li><span>Hasta ve doktor arasında iletişimi kurarak dil desteği sağlamak,</span></li><li><span>Hastaların tüm süreçlerini günlük ve eksiksiz olarak raporlamak.</span></li></ul>",Tercüme Hizmetleri
