JobRefNo,DigerPozisyon,Qualifications,Classification
3412766,İş Makinesi Operatörü,"<p><br></p><p>EŞMETAL METAL ÇELİK GERİ DÖNÜŞÜM TESİSİNDE TECRÜBELİ&nbsp;</p><p>İŞ MAKİNASI OPERATÖRÜ&nbsp;</p><p>HURDA DEMİR AYRIŞTIRMA, KESİM, PRES. KONULARINDA TECRÜBELİ&nbsp; TAKIM ARKADAŞI ARANMAKTADIR.</p><p>&nbsp;</p><p>ÇELİK DEMİR GERİ DÖNÜŞÜM&nbsp;</p><p>Paketleme ve kesim konusunda tecrübeli,</p><p>Vardiyalı ve mesaili çalışabilecek</p><p>Fabrika ve endüstri tesislerinde çalışma kültürüne sahip</p><p>Takım çalışmasına yatkın, çözüm ve sonuç odaklı çalışabilen,</p><p>İnsan ilişkileri ve iletişim becerileri güçlü,</p><p>Öğrenmeye ve gelişime açık,</p><p>Erkek adaylar için askerlik görevini tamamlamış yada muaf</p>",İnşaat
3412755,Gayrimenkul Değerleme Uzmanı,"<p><strong><span><span>GENEL NİTELİKLER </span></span></strong></p><ul><li><strong><u><span><span><span><u>''İSTANBUL'', ANTALYA,&nbsp;</u></span>ADANA, AFYON, ANKARA, BALIKESİR, BOLU, BURDUR, EDİRNE, ISPARTA, , İZMİR, KIRKLARELİ, KOCAELİ, MALATYA, MANİSA, MERSİN, MUĞLA, SAKARYA, SAMSUN, TEKİRDAĞ, UŞAK, YALOVA ve Türkiye genelinde TÜM&nbsp;&nbsp;</span></span></u></strong><span><span>illerde kadrolu uzman / uzman yardımcısı ve sözleşmeli,</span></span></li><li><span><span>SPK lisansı&nbsp; ve 3-5 yıllık mesleki tecrübe belgesine sahip,</span></span></li><li><span><span>Etik&nbsp;kurallara uyup, bu kurallara riayet eden ve sorumluluk sahibi; Gayrimenkul Değerleme konusunda tecrübeli veya bu sektörde uzun soluklu çalışmak üzere tecrübe edinmek isteyen,</span></span></li><li><span><span>Girişken, araştırmacı, hırslı ve analitik düşünce yeteneğine sahip, dikkatli;</span></span></li><li><span><span>B Sınıfı ehliyet sahibi ve&nbsp;aktif olarak&nbsp;araç kullanabilen;</span></span></li><li><span><span>Seyahat engeli olmayan;</span></span> </li><li><span><span>Erkek adaylarda askerlik görevini&nbsp;tamamlamış olan veya en az&nbsp;2 yıl tecilli;<br>Adaylar…</span></span></li></ul><br><br><h3>İŞ TANIMI</h3><p><strong><span><span>İŞ TANIMI<br><br><br><br><br><br><br><br><br><br>? <br></span></span></strong></p><p><span><span><span>Şirketimizin büyümekte olan kadrosunda; gayrimenkul değerlemesi alanında çalışacak, her türlü taşınmazın değerlemesini yapacak,</span></span></span><span><u>ADANA, AFYON, ANKARA, BALIKESİR, BOLU, BURDUR, EDİRNE, ISPARTA, İSTANBUL, İZMİR, KIRKLARELİ, KOCAELİ,MANİSA, MERSİN, MUĞLA, SAKARYA, SAMSUN, TEKİRDAĞ, UŞAK, YALOVA ve Türkiye genelinde TÜM&nbsp;&nbsp;</u></span><span><span>illerde çalışabilecek&nbsp;<u>kadrolu ve sözleşmeli</u>&nbsp;<strong>""Gayrimenkul Değerleme Uzmanları""</strong>&nbsp;ve ''aramaktayız...</span></span></p>&nbsp;<br><br>&nbsp;",İnşaat
3412749,İnşaat Mühendisi,"<p><span>Proje firmasında görevlendirilmek üzere aşağıdaki niteliklere sahip İnşaat Mühendisi aranıyor.</span><br></p><ul><li>Yapısal Analiz programlarına hakim&nbsp;(SAP2000, Larsa4D, Midas Civil ....vb)</li><li>Daha önce çelik veya betonarme Köprü projesi tecrübesi olan</li><li>Autocad kullanabilen</li><li>Grup çalışmasına yatkın</li><li>Şartnameleri takip edebilecek seviyede İngilizce bilen</li></ul>",İnşaat
3412739,İnce ve Kaba İşler Şefi,"<p>GENEL NİTELİKLER</p><ul><li>Üniversitelerin Mimarlık ve İnşaat Mühendisliği bölümlerinden mezun,&nbsp;</li><li>İç mimar, mimar ve inşaat mühendisi başvurabilir.</li><li>Üstyapı (Otel, lüks konut) tecrübesi bulunan,&nbsp;</li><li>Tercihen malzeme bilgisi olan,&nbsp;</li><li>Ms Office ve&nbsp;AutoCAD programlarına&nbsp;hakim,&nbsp;</li><li>Kendisine bağlı bulunacak projelerin ince işlerini sevk ve idare edebilecek,</li><li>Takım çalışmasına yatkın,&nbsp;</li><li>Güçlü iletişim becerilerine sahip.&nbsp;</li></ul><p>İnce işler şefi Aramaktayız.</p><p><br><br></p><p>İŞ TANIMI</p><ul><li>İnce imalatların, elektrik ve mekanik imalatlar ile koordinasyonunun sağlanması,&nbsp;</li><li>İmalatların teknik şartname, proje ve iş planına uygunluğunun takibinin yapılması,&nbsp;</li><li>İmalatların yapım yönetimine uygunluğunun sağlanması,&nbsp;</li><li>Gerektiğinde bölgesel iş programı ve yapım yöntemi için ön çalışmanın yapılması,</li><li>Shop drawing kontrolünün sağlanması ve gerektiğinde nokta detaylar için AutoCAD ortamında hızlıca alınacak&nbsp;detay, çizim bilgisine sahip olunması,</li><li>Sorumlu olunan bölgeye bağlı bulunan diğer disiplinler ile ilgili super pose çalışmalarının katılımının sağlanması&nbsp;ve yönlendirme yapılması,&nbsp;</li><li>Alt yüklenici ve yeni firma temini için zamanında tespit çalışmalarının yapılması.</li></ul>",İnşaat
3412713,İnce İşler Formeni,"<ul color="""" color=""""><li>Konut, Avm, Otel gibi büyük ölçekli projelerde çalışmış,&nbsp;<br></li><li>İnşaat İnce İşlerinde en az 10 yıl benzer pozisyonlarda tecrübeli,</li><li>&nbsp;Uyumlu, disiplinli çalışan, kendi çalışma programını da oluşturabilecek sorumluluk sahibi,</li><li>Mimari uygulama proje okumasını bilen ve nokta detay üretebilen,</li><li>Office ve Autocad programlarını aktif olarak kullanabilen,<br></li><li>Esnek ve yoğun çalışma temposuna ayak uydurabilecek,</li><li>Erkek adaylar için askerlik ile ilişiği bulunmayan,</li><li>Aktif araç kullanan.</li><li>Yalova da ikamet edebilecek İnce işler formeni aramaktayız.</li></ul>",İnşaat
3412696,Mimar,"<p>• Üniversitelerin Mimarlık Bölümünden mezun,</p><p>• Uygulama projelerinde en az 7 yıllık deneyime sahip,</p><p>• Ekip ile birlikte profesyonel olarak BIM programlarını kullanabilen, (Revit, Naviswork, vb)</p><p>• Planlama ve koordinasyon yetkinliğine sahip,</p><p>• İş takibi konusunda disiplinli,</p><p>• Ekip çalışmasına uyumlu,</p><p>• Proaktif, çözüm odaklı,</p><p>• Analitik düşünce yapısına sahip,</p><p>• Teknoloji kullanımına, takibine ve kontrolüne hakim,</p><p>• Zamanını yönetebilen, öncelikleri belirleme konusunda yetkin,</p><p>• Değişen koşullara adapte olabilen,</p><p>• Öğrenmeye, gelişime açık, heyecanlı</p><p>• Etik değerlere saygılı,</p><p>• İngilizceyi yazılı ve sözlü iletişimde akıcı bir şekilde kullanabilen (tercihen Rusça bilen)</p><p><br></p><p>Mimar ekip arkadaşları aramaktayız.</p>",İnşaat
3412677,Tünel Şefi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_x_x_x_xxxxxxxxxxxxxxxxmsonormal"">GAP İNŞAAT</p><p class=""x_x_x_x_xxxxxxxxxxxxxxxxmsonormal"">Türkiye'nin en büyük sanayi kuruluşlarından biri olan Çalık Holding, enerji, telekom, tekstil, inşaat, finans ve madencilik sektörlerinde faaliyet göstermektedir. Çalık Holding iştiraki olarak kurulan Gap İnşaat, kurulduğu günden bu yana yurt içinde ve yurt dışında sayısız projeyi başarıyla tamamlamıştır.&nbsp; Yurt dışı operasyonlarına Türkmenistan, Irak, Libya, Suudi Arabistan ve Katar gibi ülkelerde devam eden Gap İnşaat kamu otoritelerinin birçok farklı projede tercih ettiği, deneyim ve tecrübesiyle kredibiletesini perçinlemiş bir şirkettir.</p><p class=""x_x_x_x_MsoNormal"">Gap İnşaat bünyesinde Artvin Yol Projesi'nde görevlendirilmek üzere “Tünel Şefi”&nbsp;arayışımız bulunmaktadır.</p><p class=""x_x_x_x_MsoNormal"">GENEL NİTELİKLER&nbsp;</p><ul color="""" color=""""><li>Üniversitelerin İnşaat / Maden / Jeoloji / Jeofizik Mühendisliği lisans programlarının birinden mezun,<br></li><li>Metro ve Karayolu Tünel İşlerinde en az son 3 yılı yöneticilik olmak üzere 10 yıl ve üzeri deneyimi bulunan,</li><li>Saha imalatlarının mobilizasyon ve iş sonu teslimatları dahil olmak üzere tüm yapım süreçlerini yürütebilecek, projenin sahada aplikasyonunu sağlayıp tüm birimlerle koordinasyonunu sağlayabilecek ve süperpoze çalışmalarını yürütebilecek,</li><li>Malzeme, İş makinası ve ekipman bilgisine sahip,&nbsp;</li><li>Alt yüklenici takibi ve denetimi konularında tecrübeli,</li><li>İletişim, organizasyon ve planlama konularında yetkin,</li><li>Seyahat engeli bulunmayan,</li><li>Erkek adaylar için askerlik hizmetini tamamlamış olan,</li></ul><p><br></p><p>İŞ TANIMI:&nbsp;</p><ul color="""" color=""""><li>Yapım metodu hazırlayıp yapım süreçlerini sistematik olarak takip etmek,</li><li>Malzeme ve ekip-ekipman tedariği konularında&nbsp; ilgili birimlerle koordinasyonu sağlamak,&nbsp;</li><li>İmalat ilerlemeleri ile ilgili olarak ekiplerin verimliliklerini ve malzeme zayiat oranlarını takip etmek&nbsp;</li><li>Gerçekleşen maliyetlerin takibi ve denetimi ve kontrolünü sağlamak,</li><li>Sorumluluk sahası ile ilgili tüm yazışma ve raporları hazırlamak,&nbsp;</li><li>Kendisine bağlı ekipleri sevk ve idare etmek</li><li>İSG ,Çevre ve Kalite kurallarını uygulayıp saha denetimini sağlamak,</li><li>Saha iş programlarını hazırlamak birim amirine sunmak,</li><li>İş sonu asbuilt projelerinin hazırlanması için tüm süreçleri koordine ederek teslimatları yapmak.</li></ul>",İnşaat
3412671,Mimar,"<p>&nbsp; İç mimari tasarımlar yapan ve tasarladığı mekanların ahşap ürünlerinin imalatını yapan şirketimizin proje departmanına&nbsp; çalışma arkadaşları arıyoruz.</p><p><strong><u>Üniversitelerin,&nbsp;</u></strong></p><ul><li>-Mimarlık (iç mimari projelere ilgili)</li><li>- İç Mimarlık</li><li>-İç mekan Tasarımı (MYO)&nbsp;</li></ul><p>bölümlerinden mezun, veya son sınıf öğrenci</p><ul><li>Yurt dışındaki projelerimiz için seyahat edebilecek,<br></li><li>AutoCAD ve MS Office programlarını etkin kullanabilen,</li></ul><ul><li>Konsept belirleme ve tasarım yapmayı seven,</li><li>Yenilikçi&nbsp; ve estetik algısı yüksek,</li><li>Toplantılarında kendini kolay ifade edebilen, özgüveni yüksek,</li></ul><ul><li>Tasarım, üretim ve şantiye süreçlerini yönetebilecek,&nbsp;</li><li>Hazırladığı projeleri şantiye ekibine aktarıp ekibi yönlendirebilecek</li><li>Detay projeleri hazırlayıp üretim takibi yapacak</li><li>Dünya trendlerini yakından takip edecek</li><li><br></li><li>Ahşap malzeme ve ürünlere ilgi duyan,</li><li><br></li><li>Analitik düşünce yapısına sahip,</li><li>Yönetme ve liderlik etme yeteneğine sahip,<br></li><li>Disiplinli, sorumluluk duygusu yüksek,</li><li>Tecrübeli tecrübesiz takım arkadaşları aranmaktadır.<br></li></ul><p><strong>*ANADOLU YAKASINDA ÇALIŞABİLECEK ADAYLARIN BAŞVURMASINI RİCA EDERİZ.</strong></p>",İnşaat
3412660,Harita ve Kadastro Mühendisi,<p>DOSYA HAZIRLAMASINI BİLEN ( İFRAZ-TEVHİT-TERK-İHDAS-18.MAD) TECRÜBELİ ARKADAŞ ARIYORUZ. TÜM KADASTRO İŞLEMLERİNE HAKİM OLMASI GEREKMEKTEDİR. VE ARAZİ İŞLEMLERİNİ YAPABİLMELİ. KALACAK YER TEMİN EDİLİR.&nbsp;</p>,İnşaat
3412640,Harita ve Kadastro Mühendisi,<p>15-16-18 DOSYA HAZIRLAMASINI BİLEN KADASTRO İŞLEMLERİNE HAKIM OLAN VE ARAZİ YAPMASINI BİLEN TEKNİKER-MÜH-TEKNİSYEN OLUR. KALACAK YER VAR</p>,İnşaat
3412618,Teknik Ofis Mühendisi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">GAP İNŞAAT</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Türkiye'nin en büyük sanayi kuruluşlarından biri olan Çalık Holding, enerji, telekom, tekstil, inşaat, finans ve madencilik sektörlerinde faaliyet göstermektedir. Çalık Holding iştiraki olarak kurulan Gap İnşaat, kurulduğu günden bu yana yurt içinde ve yurt dışında sayısız projeyi başarıyla tamamlamıştır.&nbsp; Yurt dışı operasyonlarına Türkmenistan, Irak, Libya, Suudi Arabistan ve Katar gibi ülkelerde devam eden Gap İnşaat kamu otoritelerinin birçok farklı projede tercih ettiği, deneyim ve tecrübesiyle kredibiletesini perçinlemiş bir şirkettir.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Gap İnşaat bünyesinde Artvin Yol Projesi/Teknik Ofiste görevlendirilmek üzere, aşağıdaki niteliklere sahip&nbsp;“İnşaat Mühendisi! aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">GENEL NİTELİKLER</p><ul color="""" color="""" color=""""><li>Üniversitelerin İnşaat Mühendisliği bölümünden mezun,<br></li><li>Tercihen sahada görev almış, minimum 10 yıllık inşaat sektörü deneyime sahip,</li><li>Tercihen üstyapı projelerinde deneyim sahibi olan,</li><li>Excel başta olmak üzere MS Office uygulamaları ve Autocad programlarına hakim,<br></li><li>Ekip çalışmasına yatkın, analitik düşünebilen, detaylara dikkat eden ve çözüm üretebilen,<br></li><li>İnsan ilişkilerinde başarılı sözlü ve yazılı iletişim becerisi yüksek, çalışma arkadaşlarıyla uyumlu, takım çalışmasına artı değer katabilecek olan,</li><li>Seyahat engeli bulunmayan,</li><li>Erkek adaylar için askerlik hizmetini tamamlamış olan,</li></ul><p>İŞ TANIMI<br></p><ul color="""" color="""" color=""""><li>Keşif, metraj, kesin hesap ve genel olarak teknik ofis süreçlerini takip etmek,<br></li><li>Taşeron hak edişlerinin takibini yapmak.</li><li>İş planlarını hazırlayarak takibini ve kontrolünü sağlamak.</li></ul>",İnşaat
3412617,Harita ve Kadastro Mühendisi,<p>İFRAZ-TEVHİT-TERK-18. MAD DOSYA HAZIRLAMASINI BİLEN ARAZİ İŞLEMLERİNİ YAPABİLECEK NİTELİKLİ ÇALIŞAN. KALACAK YER TEMİN EDİLİR. MÜHENDİS OLMASI ŞART DEĞİL TEKNİKER TEKNİSYENDE OLUR AMA KADASTRO İŞLEMLERİ DOSYA İŞLEMLERİ YAPABİLECEK.</p>,İnşaat
3412609,Gayrimenkul Danışmanı,"<p></p><li>Türkiye’nin İlk ve En büyük gayrimenkul şirketi olan Turyap Zeytinalanı Şubemizde çalışmak üzere Gayrimenkul Danışmanına ihtiyacımız vardır<p></p><ul><li>Daha önce pazarlama sektöründe tecrübeli olması önceliğimiz&nbsp;</li><li>Girişimci ruhlu, kendine güvenen, motivasyonu yüksek&nbsp;</li><li>Sistemli ve özgür bir çalışma ortamını seven&nbsp;</li><li>Eğitimin ve gelişimin önemine inanan&nbsp;</li><li>İletişim becerileri kuvvetli ve ekip çalışmasına yatkın&nbsp;</li><li>Bölgede aktif şekilde çalışıp “ Satılık & Kiralık “ portföyler oluşturacak</li><li>Genel görünümüne özen gösteren&nbsp;</li><li>MS Office programlarına hakim&nbsp;</li><li>Gayrimenkul ile ilgili gerekli programları kullanabilen İş Ortakları aramaktayız&nbsp;</li></ul><p><span><br>Şartları yüz yüze görüşmek adına Ofisimize davette bulunacağız</span></p></li>",İnşaat
3412598,Şantiye Şefi,<p>Tübitakta bulunan yapım işimiz için en az 5 yıl deneyimli&nbsp; .İNŞAAT MÜHENDİSİ VEYA MİMAR ARANMAKTADIR.</p>,İnşaat
3412582,Şantiye Şefi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><ul><li>Üniversitelerin İnşaat Mühendisliği/Mimarlık bölümünden mezun,</li><li>Kaba ve ince işlerde en az 5 yıl şantiye deneyimli,</li><li>Keşif, metraj ve hakediş konularında deneyimli,</li><li>Taşeron Hakedişlerini yapabilecek saha ile uyumlu olarak çalışabilecek ;</li><li>Malzeme satın alımına esas metrajları yapabilecek ve iş programına uygun hareket edebilen ;</li><li>Ms Office, Excel ve Autocad programlarını etkin kullanabilen ,çizim konusunda tecrübeli</li><li>Problem çözme, karar verme ve koordine etme becerileri gelişmiş,</li><li>İletişim becerileri ve ifade yeteneği güçlü,</li><li>Stres yönetiminde başarılı, sorumluluk bilinci yüksek, takım çalışmasına yatkın,</li><li>Yoğun çalışma saatlerine uyum sağlayabilecek,</li><li>İstanbul Avrupa yakasında ikamet eden,</li><li>Seyahat engeli olmayan B Sınıfı Ehliyeti Olan</li></ul>",İnşaat
3412568,Topoğraf,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">GAP İNŞAAT<br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Türkiye'nin en büyük sanayi kuruluşlarından biri olan Çalık Holding, enerji, telekom, tekstil, inşaat, finans ve madencilik sektörlerinde faaliyet göstermektedir. Çalık Holding iştiraki olarak kurulan Gap İnşaat, kurulduğu günden bu yana yurt içinde ve yurt dışında sayısız projeyi başarıyla tamamlamıştır.&nbsp; Yurt dışı operasyonlarına Türkmenistan, Irak, Libya, Suudi Arabistan ve Katar gibi ülkelerde devam eden Gap İnşaat kamu otoritelerinin birçok farklı projede tercih ettiği, deneyim ve tecrübesiyle kredibiletesini perçinlemiş bir şirkettir.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Gap İnşaat bünyesinde Artvin Yol Projesi'nde görevlendirilmek üzere, aşağıdaki niteliklere sahip&nbsp;“Topoğraf”&nbsp;aramaktayız.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">GENEL NİTELİKLER VE İŞ TANIMI</p><ul color="""" color=""""><li>Meslek Yüksek Okullarının Harita – Kadastro bölümünden mezun,</li><li>Üstyapı ve altyapı deneyimi olan,</li><li>Alanında en az 5 yıl deneyimli,</li><li>GPS, Total Station (Topcon-Leica-Sokkia) ve Nivo gibi ölçüm cihazlarını iyi kullanabilen,</li><li>Röleve, metraj, kesit, kübaj konularına hakim</li><li>Autocad, Netcad (Netpro) ve MS Office programlarına hakim,</li><li>Takım çalışmasına yatkın, problem çözme becerisi gelişmiş, sonuç odaklı düşünebilen,</li><li>Seyahat engeli olmayan,</li><li>Erkek adaylar için askerlik hizmetini tamamlamış olan.</li></ul>",İnşaat
3412531,Harita Mühendisi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p class=""x_x_x_x_xxxxxxxxxxxxxxxxmsonormal"">GAP İNŞAAT</p><p class=""x_x_x_x_xxxxxxxxxxxxxxxxmsonormal"">Türkiye'nin en büyük sanayi kuruluşlarından biri olan Çalık Holding, enerji, telekom, tekstil, inşaat, finans ve madencilik sektörlerinde faaliyet göstermektedir. Çalık Holding iştiraki olarak kurulan Gap İnşaat, kurulduğu günden bu yana yurt içinde ve yurt dışında sayısız projeyi başarıyla tamamlamıştır.&nbsp; Yurt dışı operasyonlarına Türkmenistan, Irak, Libya, Suudi Arabistan ve Katar gibi ülkelerde devam eden Gap İnşaat kamu otoritelerinin birçok farklı projede tercih ettiği, deneyim ve tecrübesiyle kredibiletesini perçinlemiş bir şirkettir.</p><p class=""x_x_x_x_MsoNormal"">Gap İnşaat bünyesinde&nbsp;Artvin Yol Projesi için&nbsp; “Harita Mühendisi”&nbsp;arayışımız bulunmaktadır.</p><p class=""x_x_x_x_MsoNormal"">GENEL NİTELİKLER VE İŞ TANIMI</p><ul color="""" color=""""><li>Üniversitelerin Harita Mühendisliği bölümünden mezun,<br></li><li>En az 7 yıl deneyime sahip,&nbsp;</li><li>Tercihen İnşaat sektöründe Üstyapı projesi deneyimi olan,</li><li>NetCAD ,AutoCAD, Civil 3D programlarını iyi derecede kullanabilen,</li><li>Planlama ,iş takibi ve koordinasyon becerilerini etkin düzeyde kullanabilen,</li><li>Şantiyelerde saha ekiplerinin denetimini yapabilecek,</li><li>Tip kesit, keşif, metraj, ataşman hazırlama konusunda deneyimli,</li><li>Yazılı ve sözel olarak iyi seviyede İngilizce bilen,</li><li>Analitik düşünebilen, takım çalışmasına yatkın,</li><li>Yazılı ve sözlü iletişimi güçlü, müzakere becerisi olan,</li><li>Seyahat engeli bulunmayan,</li><li>Erkek adaylar için askerliğini tamamlamış olan.</li></ul>",İnşaat
3412516,Gayrimenkul Danışmanı,"<p class=""x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER VE İŞ TANIMI</strong></p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>---RE/MAX HAYAT DAVUTLAR REMAX HAYAT2 KUŞADASI OFİSLERİ İÇİN GAYRİMENKUL DANIŞMANI ---</strong></p><p class=""x_x_x_x_x_x_x_MsoNormal"">Kuşadası ve Davutlar da bulunan ofislerimiz için gayrimenkul danışmanı olmaya ne dersiniz?</p><p class=""x_x_x_x_x_x_x_MsoNormal""><strong>GENEL NİTELİKLER VE İŞ TANIMI ;</strong></p><p class=""x_x_x_x_x_x_x_MsoNormal"">""RE/MAX Hayat’a Katılın…"" Hayat paylaştıkça büyür sloganı ile sizde ekibimizin bir parçası olun.&nbsp;</p><p class=""x_x_x_x_x_x_x_MsoNormal"">Gelin sizde Türkiye’nin sektör birincisi RE/MAX bünyesinde bulunan RE/MAX Hayat Davutlar &nbsp;ve Hayat2 Kuşadası Ofislerinin ayrıcalıklarından yararlanın.</p><p class=""x_x_x_x_x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_MsoNormal"">RE/MAX Hayat ve Hayat2 ofislerimizin çatısı altında;</p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpFirst"">-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Emlak pazarlama sektöründe gayrimenkul danışmanı olmak isteyen,</p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Girişimci vizyon ve ruha sahip,</p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; İletişim becerileri yüksek,</p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle"">-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; RE/MAX eğitimleri ile kendini geliştirmeye açık,</p><p></p><p class=""x_x_x_x_x_x_x_MsoListParagraphCxSpLast"">-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Gayrimenkul danışmanı olmak isteyen adayları, ekibimize katarak büyüyoruz….&nbsp;</p>",İnşaat
3412467,Şantiye Şefi,"<p class=""x_x_x_MsoNormal"">Çankırı'da bulunan atık su arıtma tesisi şantiyemizde görev almak üzere aşağıdaki niteliklere uygun ve iş tanımını karşılayacak bir ""Şantiye Şefi"" aramaktayız:</p><p class=""x_x_x_MsoNormal""><br></p><p class=""x_x_x_MsoNormal""></p><p class=""x_x_x_MsoNormal"">GENEL NİTELİKLER</p><ul type=""disc""><li class=""x_x_x_MsoNormal"">Üniversitelerin ""İnşaat Mühendisliği""&nbsp;bölümünden mezun,</li><li class=""x_x_x_MsoNormal"">En az 8 yıl mesleki ve 5 yıl benzer iş tecrübesi (atık su arıtma tesisi, içme suyu arıtma tesisi, altyapı işleri) olan,</li><li class=""x_x_x_MsoNormal"">Saha ve ince işler konusunda tecrübeli, detay çizimlere ve uygulamalara hakim,</li><li class=""x_x_x_MsoNormal"">Tercihen FIDIC projelerinde görev almış, </li><li class=""x_x_x_MsoNormal"">MS Office ve Auto Cad programlarına hakim, </li><li class=""x_x_x_MsoNormal"">İyi derecede İngilizce bilen, </li><li class=""x_x_x_MsoNormal"">Çankırı’da ikamet edebilecek olan, </li><li class=""x_x_x_MsoNormal"">Seyahat engeli olmayan, </li><li class=""x_x_x_MsoNormal"">Aktif araç kullanabilen, </li><li class=""x_x_x_MsoNormal"">Erkek adaylar için askerliğini tamamlamış. </li></ul><p class=""x_x_x_MsoNormal""><br></p><p class=""x_x_x_MsoNormal"">İŞ TANIMI</p><p></p><ul type=""disc""><li class=""x_x_x_MsoNormal"">İnşaat sürecinde; kaba işler, ince işler, elektrik ve mekanik imalatların kontrolünü ve koordinasyonunu sağlamak ve Proje Müdürü’ne gerekli raporlamaları yapmak,</li><li class=""x_x_x_MsoNormal"">Alt taşeronları organize ederek, imalatların projeye uygun olarak yapımını denetlemek,</li><li class=""x_x_x_MsoNormal"">Hakediş düzenlemek ve Proje Müdürü’ne sunmak, </li><li class=""x_x_x_MsoNormal"">Personel yönetimi konusunda gerekli işlemleri gerçekleştirmek,</li><li class=""x_x_x_MsoNormal"">Gerektiğinde İşveren'i İdare nezdinde temsil etmek ve İdare ile gerekli yazışmaları yapmak.&nbsp;&nbsp;</li></ul>",İnşaat
